countryID,totalPublicExp,primaryEdPercent,secondaryEdPercent,tertiaryEdPercent
1,15.6614,44.1906,44.1906,44.1906
2,13.597000000000001,56.7669,56.7669,56.7669
3,11.4284,NULL,NULL,NULL
4,NULL,NULL,NULL,NULL
5,NULL,22.0479,22.0479,22.0479
6,8.6848,31.4335,31.4335,31.4335
7,NULL,39.4499,39.4499,39.4499
8,6.9281,41.6132,41.6132,41.6132
9,13.3762,30.074,30.074,30.074
10,10.1972,20.6657,20.6657,20.6657
11,NULL,27.5259,27.5259,27.5259
12,14.0758,31.7843,31.7843,31.7843
13,10.6935,16.5679,16.5679,16.5679
14,8.2012,NULL,NULL,NULL
15,18.9228,NULL,NULL,NULL
16,7.1804,32.9869,32.9869,32.9869
17,11.4194,44.6029,44.6029,44.6029
18,12.8792,29.6064,29.6064,29.6064
19,12.2817,NULL,NULL,NULL
20,12.1689,23.5356,23.5356,23.5356
21,21.680999999999997,31.7646,31.7646,31.7646
22,18.7914,49.8087,49.8087,49.8087
23,NULL,32.1581,32.1581,32.1581
24,24.041,31.9708,31.9708,31.9708
25,16.8421,41.6101,41.6101,41.6101
26,NULL,NULL,NULL,NULL
27,NULL,NULL,NULL,NULL
28,20.4774,17.8223,17.8223,17.8223
29,16.2488,25.6151,25.6151,25.6151
30,NULL,29.8569,29.8569,29.8569
31,11.442,19.5228,19.5228,19.5228
32,11.4398,19.6964,19.6964,19.6964
33,18.0271,57.868,57.868,57.868
34,20.4014,45.43,45.43,45.43
35,16.3829,38.0945,38.0945,38.0945
36,8.7916,48.4539,48.4539,48.4539
37,15.4686,33.8793,33.8793,33.8793
38,12.2191,NULL,NULL,NULL
39,NULL,45.9737,45.9737,45.9737
40,7.8255,53.263999999999996,53.263999999999996,53.263999999999996
41,12.4615,46.7001,46.7001,46.7001
42,NULL,NULL,NULL,NULL
43,21.1555,28.083000000000002,28.083000000000002,28.083000000000002
44,NULL,NULL,NULL,NULL
45,17.8413,21.6932,21.6932,21.6932
46,NULL,24.7961,24.7961,24.7961
47,15.1697,36.4018,36.4018,36.4018
48,15.2701,54.6121,54.6121,54.6121
49,7.9504,30.9983,30.9983,30.9983
50,NULL,40.3611,40.3611,40.3611
51,NULL,28.9201,28.9201,28.9201
52,18.6235,41.4065,41.4065,41.4065
53,9.4946,NULL,NULL,NULL
54,NULL,29.035,29.035,29.035
55,NULL,27.4655,27.4655,27.4655
56,16.2763,32.2075,32.2075,32.2075
57,13.8825,13.2809,13.2809,13.2809
58,NULL,NULL,NULL,NULL
59,11.7108,61.5936,61.5936,61.5936
60,13.8268,27.2067,27.2067,27.2067
61,12.3284,34.0865,34.0865,34.0865
62,10.5221,45.8287,45.8287,45.8287
63,12.5779,58.678999999999995,58.678999999999995,58.678999999999995
64,12.5977,23.2552,23.2552,23.2552
65,10.9418,NULL,NULL,NULL
66,15.634,45.606,45.606,45.606
67,NULL,NULL,NULL,NULL
68,5.1681,23.0667,23.0667,23.0667
69,12.9666,23.8619,23.8619,23.8619
70,24.9452,50.7877,50.7877,50.7877
71,27.0987,27.4527,27.4527,27.4527
72,NULL,NULL,NULL,NULL
73,NULL,NULL,NULL,NULL
74,14.3004,38.6039,38.6039,38.6039
75,12.4122,20.2441,20.2441,20.2441
76,9.6202,20.7152,20.7152,20.7152
77,NULL,NULL,NULL,NULL
78,NULL,NULL,NULL,NULL
79,11.2255,29.2355,29.2355,29.2355
80,10.3578,55.1841,55.1841,55.1841
81,12.9534,34.3393,34.3393,34.3393
82,10.9935,12.9331,12.9331,12.9331
83,20.0976,21.6973,21.6973,21.6973
84,NULL,NULL,NULL,NULL
85,8.7002,NULL,NULL,NULL
86,NULL,NULL,NULL,NULL
87,42.7886,56.7574,56.7574,56.7574
88,NULL,NULL,NULL,NULL
89,NULL,NULL,NULL,NULL
90,23.0881,56.4745,56.4745,56.4745
91,13.3768,40.5216,40.5216,40.5216
92,16.1914,64.4178,64.4178,64.4178
93,18.2761,30.5554,30.5554,30.5554
94,13.1307,NULL,NULL,NULL
95,NULL,NULL,NULL,NULL
96,22.0249,48.9004,48.9004,48.9004
97,9.1391,16.3961,16.3961,16.3961
98,18.158,28.628,28.628,28.628
99,14.0502,28.4012,28.4012,28.4012
100,20.5033,42.5999,42.5999,42.5999
101,20.042,30.1244,30.1244,30.1244
102,NULL,NULL,NULL,NULL
103,13.0293,36.8693,36.8693,36.8693
104,NULL,NULL,NULL,NULL
105,15.044,38.6805,38.6805,38.6805
106,8.113,24.9722,24.9722,24.9722
107,18.4025,37.878,37.878,37.878
108,9.1311,32.9934,32.9934,32.9934
109,12.5294,43.2417,43.2417,43.2417
110,11.4215,0.7063,0.7063,0.7063
111,17.5823,36.3389,36.3389,36.3389
112,11.5161,34.3345,34.3345,34.3345
113,13.37,20.4152,20.4152,20.4152
114,18.6443,NULL,NULL,NULL
115,12.1899,40.6428,40.6428,40.6428
116,14.1274,30.0877,30.0877,30.0877
117,8.5755,NULL,NULL,NULL
118,13.8039,55.9579,55.9579,55.9579
119,7.058,30.721999999999998,30.721999999999998,30.721999999999998
120,NULL,NULL,NULL,NULL
121,NULL,38.6201,38.6201,38.6201
122,12.2883,16.5483,16.5483,16.5483
123,9.4276,31.5985,31.5985,31.5985
124,18.9668,47.3518,47.3518,47.3518
125,14.3401,43.9202,43.9202,43.9202
126,21.0557,33.7563,33.7563,33.7563
127,11.2889,36.3961,36.3961,36.3961
128,13.9039,39.5786,39.5786,39.5786
129,13.1509,24.2748,24.2748,24.2748
130,22.5088,45.4705,45.4705,45.4705
131,NULL,NULL,NULL,NULL
132,9.3306,55.9035,55.9035,55.9035
133,19.9341,23.053,23.053,23.053
134,NULL,NULL,NULL,NULL
135,19.0188,32.4697,32.4697,32.4697
136,22.3124,NULL,NULL,NULL
137,NULL,12.7013,12.7013,12.7013
138,13.4912,32.2161,32.2161,32.2161
139,NULL,NULL,NULL,NULL
140,NULL,20.4733,20.4733,20.4733
141,17.2953,37.7254,37.7254,37.7254
142,18.9781,49.2466,49.2466,49.2466
143,9.4112,39.3303,39.3303,39.3303
144,7.6415,16.8664,16.8664,16.8664
145,NULL,67.4942,67.4942,67.4942
146,15.7465,53.7702,53.7702,53.7702
147,12.2539,22.3461,22.3461,22.3461
148,NULL,NULL,NULL,NULL
149,16.5748,24.569000000000003,24.569000000000003,24.569000000000003
150,NULL,39.8119,39.8119,39.8119
151,13.2502,48.1168,48.1168,48.1168
152,NULL,NULL,NULL,NULL
153,NULL,33.3643,33.3643,33.3643
154,8.6409,NULL,NULL,NULL
155,NULL,NULL,NULL,NULL
156,15.7281,23.7194,23.7194,23.7194
157,15.3437,37.9493,37.9493,37.9493
158,NULL,NULL,NULL,NULL
159,13.8473,43.6771,43.6771,43.6771
160,15.5377,44.8644,44.8644,44.8644
161,13.0197,23.471,23.471,23.471
162,NULL,NULL,NULL,NULL
163,NULL,36.4365,36.4365,36.4365
164,18.2358,33.4861,33.4861,33.4861
165,13.2112,54.9751,54.9751,54.9751
166,11.5827,30.8471,30.8471,30.8471
167,10.152000000000001,28.9628,28.9628,28.9628
168,NULL,22.004,22.004,22.004
169,8.8824,17.6384,17.6384,17.6384
