countryId,exportToCountryId,percentExportOfTotalTrade
1,159,47.5001
1,99,38.5674
2,106,53.4973
2,188,9.4355
2,199,5.4899
3,106,15.9969
3,76,12.5920
3,199,11.6602
5,199,28.1257
5,76,14.0854
5,200,13.9236
6,44,58.0593
6,99,11.2525
7,208,23.6535
7,43,13.0009
8,199,22.2700
8,222,20.8681
8,23,13.8941
9,29,15.9416
9,44,7.4078
10,174,26.9208
10,205,14.1203
10,32,9.0384
11,47,19.4563
12,44,29.5858
12,108,10.4310
13,82,29.7094
13,106,6.2481
14,106,31.9360
14,215,9.9027
14,105,4.6308
15,166,21.6332
15,150,6.3824
16,186,18.1339
16,221,17.3274
17,82,14.9135
17,222,8.4687
18,213,6.9241
19,174,38.4606
19,220,12.1323
19,222,9.2026
20,82,16.6060
20,76,14.8860
20,147,12.0072
21,222,27.6507
21,107,5.3860
22,230,13.9117
22,17,12.5833
22,126,11.4428
23,222,6.1516
24,99,85.1767
24,222,2.9574
24,146,2.7490
25,29,19.1591
25,9,15.9823
25,99,8.0633
27,82,14.3852
27,53,11.5595
27,106,10.9370
28,20,22.8315
28,99,19.7209
28,221,16.5627
29,44,21.8098
29,9,8.0917
30,135,20.8242
30,175,8.2370
30,12,5.6842
31,108,29.2663
31,126,11.2311
32,82,12.8599
32,215,8.8895
32,106,7.9251
33,205,58.7682
33,99,9.9272
33,191,9.3492
34,221,25.6131
34,159,9.2449
35,199,70.7853
35,167,24.7578
36,222,9.4666
36,82,8.9762
37,106,13.8834
37,44,12.0863
37,76,10.5128
38,44,4.3238
38,222,3.2418
39,129,50.6534
39,147,38.5226
40,76,61.1330
40,22,9.9022
40,44,6.9582
41,44,22.7412
41,147,16.0850
43,44,33.5007
43,108,9.3339
44,45,12.3361
44,108,6.0644
45,44,55.2259
45,99,3.1456
46,45,29.7525
46,44,5.9192
47,161,6.8427
47,44,5.2946
48,99,36.3563
48,76,17.9228
48,82,7.6616
49,44,33.8915
49,199,12.3782
49,6,6.4277
50,108,41.8901
50,44,14.7367
50,208,11.2205
51,20,6.4526
51,147,5.6110
52,147,11.8951
52,230,6.1906
53,106,13.6069
53,82,12.3303
53,194,10.7353
54,44,22.9690
54,38,21.1017
54,199,10.2075
56,120,8.9827
56,85,7.7160
57,82,33.2820
57,193,6.9538
57,166,6.2032
58,44,90.2438
58,99,1.7992
58,234,0.8718
59,44,46.6103
59,234,16.4351
60,82,14.5182
60,204,10.4727
61,186,19.9509
61,221,4.9212
62,100,16.1886
62,186,12.6014
62,19,8.8607
63,94,9.6269
63,38,8.8973
64,164,7.4752
64,44,6.9162
65,221,10.5639
65,106,8.4761
65,215,7.1947
66,96,13.8343
66,90,13.7539
67,44,28.1281
67,99,11.1730
67,167,9.1159
68,44,52.8359
68,221,13.9376
69,75,15.1200
69,204,10.3999
69,116,9.0958
70,197,69.3627
70,111,5.9093
70,152,4.6733
71,186,9.6938
71,82,8.6037
72,199,80.9296
72,144,3.0832
73,174,24.7918
73,222,17.4344
73,60,10.7940
74,12,12.9102
75,82,14.8237
75,204,10.2199
75,147,6.4866
76,82,14.8284
76,199,7.6790
76,106,7.5925
78,108,48.4906
78,76,11.7760
79,44,46.2487
79,12,7.8831
79,126,5.8802
80,230,35.8229
80,128,27.5334
80,92,9.3938
81,14,14.9529
81,174,13.0070
81,10,8.4754
82,76,8.2212
82,44,6.7380
83,99,21.4647
83,44,11.8849
83,197,10.1902
84,132,28.8357
84,82,22.3314
84,147,12.4807
85,106,10.2424
85,82,6.3339
85,215,6.0902
86,60,81.3173
86,167,8.3410
87,82,8.6220
87,179,7.3803
90,66,11.0480
90,96,8.7842
91,44,39.1170
91,221,13.7507
91,99,13.1357
92,99,71.8302
92,230,19.9520
92,210,2.4188
93,38,26.8541
