countryId,healthExp,physiciansPer1000,popUsingSafeSanitationFacilities,popUsingSafeWaterServices
1,2.3191,NULL,NULL,NULL
2,14.6789,NULL,39.8555,70.0232
3,10.7341,NULL,17.6875,NULL
4,NULL,NULL,NULL,12.5751
5,14.0176,NULL,100,90.64
6,5.4284,0.2,NULL,NULL
7,NULL,NULL,NULL,NULL
8,9.4786,2.8,NULL,NULL
9,16.0513,4.0,NULL,NULL
10,5.2735,NULL,48.2232,86.4764
11,NULL,NULL,NULL,NULL
12,17.7973,NULL,75.6399,NULL
13,15.3054,NULL,96.7467,98.9062
14,2.8143,NULL,NULL,73.5643
15,11.2508,1.9,NULL,NULL
16,8.4938,NULL,96,98.9833
17,2.9945,0.5,NULL,55.4412
18,9.0803,2.5,NULL,NULL
19,10.6191,NULL,80.5158,94.5214
20,15.3139,NULL,97.1002,99.5232
21,10.9910,1.1,NULL,NULL
22,4.5752,NULL,NULL,NULL
23,NULL,NULL,NULL,NULL
24,7.9006,0.4,NULL,36.1631
25,11.5230,NULL,22.9383,NULL
26,NULL,NULL,NULL,NULL
27,15.4748,NULL,21.555,88.8419
28,14.3155,NULL,NULL,NULL
29,10.2553,2.2,49.2758,NULL
30,NULL,NULL,NULL,NULL
31,6.1533,NULL,NULL,NULL
32,11.9860,NULL,64.4137,96.9459
33,9.9915,NULL,NULL,NULL
34,8.5214,NULL,NULL,NULL
35,9.8551,NULL,NULL,NULL
36,6.0787,NULL,NULL,25.8456
37,3.1372,NULL,NULL,NULL
38,19.3279,2.6,82.0678,98.8609
39,NULL,NULL,NULL,NULL
40,5.0349,NULL,NULL,NULL
41,4.6784,NULL,NULL,NULL
42,NULL,NULL,90,91.975
43,17.7318,NULL,77.4648,98.6392
44,9.0721,NULL,72.0823,NULL
45,NULL,NULL,91.7735,100
46,NULL,NULL,NULL,100
47,17.4857,2.1,16.9865,73.2334
48,3.3650,NULL,NULL,NULL
49,3.3985,NULL,NULL,45.3548
50,5.6772,NULL,NULL,NULL
51,26.9071,NULL,NULL,93.8028
52,5.0955,NULL,NULL,36.5491
53,12.4076,NULL,58.4969,89.9594
54,15.8750,8.2,44.3372,NULL
55,NULL,NULL,NULL,NULL
56,7.5817,NULL,75.4637,99.6133
57,15.1796,NULL,94.4591,97.8813
58,NULL,3.7,NULL,66.6258
59,3.3291,NULL,NULL,NULL
60,16.6023,NULL,94.8404,96.7347
61,4.0695,NULL,36.4404,NULL
62,7.2704,1.1,NULL,NULL
63,15.5982,1.6,NULL,NULL
64,11.9228,NULL,42.0108,75.068
65,5.4199,0.8,60.7405,NULL
66,19.2442,NULL,NULL,NULL
67,2.9434,0.4,NULL,NULL
68,2.6767,NULL,NULL,NULL
69,12.2249,NULL,97.3606,93.333
70,10.0202,NULL,NULL,NULL
71,4.7883,0.1,NULL,11.4448
72,NULL,NULL,NULL,NULL
73,NULL,NULL,NULL,NULL
74,7.1619,NULL,NULL,NULL
75,13.0394,NULL,99.2058,99.6331
76,15.4681,NULL,88.3714,97.8538
77,NULL,NULL,NULL,90.7861
78,NULL,NULL,NULL,NULL
79,9.7151,NULL,NULL,NULL
80,3.0606,NULL,NULL,NULL
81,9.5190,NULL,27.1651,79.9947
82,19.8808,NULL,97.2332,99.8
83,6.0656,0.2,NULL,36.4116
84,NULL,NULL,NULL,100
85,10.2267,NULL,90.3912,100
86,NULL,NULL,94.8404,96.7477
87,8.9967,1.4,NULL,87.1153
88,NULL,NULL,NULL,97.3978
89,NULL,NULL,NULL,99.5412
90,17.2122,NULL,NULL,55.9908
91,4.1134,NULL,NULL,NULL
92,3.0088,NULL,NULL,NULL
93,8.5423,NULL,NULL,NULL
94,5.2390,NULL,NULL,NULL
95,NULL,NULL,NULL,NULL
96,11.7122,0.3,NULL,NULL
97,10.0770,NULL,95.6788,89.5728
98,15.7394,4.0,81.7581,100
99,3.3750,0.8,NULL,NULL
100,8.7285,0.4,NULL,NULL
101,22.9360,NULL,NULL,91.7953
102,4.9836,0.8,41.0678,58.8333
103,20.0431,3.1,82.4136,97.3228
104,NULL,NULL,NULL,97.2076
105,11.9277,NULL,93.6726,99.3818
106,13.4217,4.1,96.208,95.0396
107,13.3156,1.3,NULL,NULL
108,23.6443,NULL,98.7604,98.4537
109,12.3920,2.3,80.5549,93.8183
110,7.8694,NULL,NULL,89.5123
111,7.9821,NULL,NULL,NULL
112,6.8516,NULL,NULL,NULL
113,8.9203,NULL,100,100
114,6.1876,NULL,NULL,68.2233
115,4.0446,NULL,58.0536,16.0819
116,9.0019,NULL,85.8238,95.1909
117,13.5022,2.3,21.7621,47.7
118,11.8211,NULL,NULL,NULL
119,4.2041,NULL,NULL,NULL
120,NULL,2.2,26.1115,NULL
121,NULL,NULL,99.65,100
122,12.7744,NULL,91.3106,92.0429
123,10.7956,3.0,96.6367,99.7247
124,15.0213,NULL,NULL,NULL
125,9.7755,NULL,NULL,NULL
126,8.9278,NULL,88.6339,93.3293
127,21.7775,NULL,NULL,NULL
128,5.7852,NULL,18.7094,NULL
129,16.4762,NULL,92.9841,100
130,9.4874,NULL,NULL,NULL
131,NULL,NULL,NULL,98.8641
132,6.0656,0.2,NULL,NULL
133,9.9685,NULL,NULL,NULL
134,NULL,NULL,NULL,83.7155
135,11.0486,NULL,50.4051,42.8703
136,4.9452,NULL,NULL,NULL
137,6.7499,NULL,100,100
138,8.1525,NULL,NULL,23.7221
139,NULL,NULL,NULL,93.5969
140,NULL,NULL,NULL,NULL
141,7.4892,0.7,38.7502,70.2664
142,4.6642,0.1,NULL,NULL
143,3.4939,0.9,NULL,NULL
144,10.6523,NULL,NULL,NULL
145,5.5962,NULL,NULL,NULL
146,4.5079,0.7,NULL,27.2434
147,15.3043,NULL,97.4733,99.951
148,NULL,NULL,NULL,96.6609
149,19.2881,NULL,88.6793,100
150,18.6187,NULL,NULL,51.6005
151,9.6507,NULL,9.6048,NULL
152,4.6014,NULL,26.6546,20.1326
153,5.2038,NULL,NULL,97.2168
154,12.8232,NULL,16.5561,81.008
155,NULL,NULL,NULL,90.2433
156,17.8774,4.6,76.3175,98.343
157,7.5657,2.0,NULL,90.275
158,NULL,NULL,NULL,NULL
159,4.3030,NULL,NULL,35.3144
160,17.3856,NULL,NULL,NULL
161,20.0809,NULL,NULL,NULL
162,9.1550,NULL,NULL,NULL
163,10.4787,NULL,58.4692,63.8946
164,14.8979,NULL,42.7647,50.3507
165,7.1260,NULL,51.6401,46.654
166,10.9431,NULL,93.2525,99.1561
167,13.0133,NULL,84.7075,95.3119
168,NULL,NULL,32.5441,94.085
169,6.2930,0.0,96.0315,96.1828
170,13.4153,2.4,99.9043,98.2139
171,11.5824,NULL,NULL,72.8779
172,NULL,NULL,NULL,96.1792
173,12.0533,NULL,76.5407,81.9158
174,8.7836,NULL,61.3062,76.0277
175,8.8828,0.1,NULL,NULL
176,NULL,NULL,NULL,NULL
177,NULL,NULL,NULL,89.1846
178,8.1529,NULL,NULL,NULL
179,8.9358,NULL,NULL,NULL
180,NULL,NULL,NULL,NULL
181,NULL,NULL,NULL,83.1283
182,9.4598,NULL,NULL,NULL
183,11.5777,NULL,48.4677,58.8211
184,12.1587,NULL,77.2261,100
185,10.7623,NULL,NULL,NULL
186,NULL,NULL,77.7521,NULL
187,3.8881,NULL,21.4558,NULL
188,11.9180,NULL,24.7261,74.7295
189,10.1392,NULL,NULL,NULL
190,7.9108,NULL,13.3495,9.9191
191,12.5689,NULL,100,100
192,NULL,NULL,NULL,NULL
193,13.2689,NULL,82.5197,99.7877
194,13.6175,NULL,83.0413,98.053
