countryId,importFromCountryId,percentImportOfTotalTrade
1,159,18.3461
1,44,16.7230
2,106,28.6278
2,215,8.1093
2,82,8.1093
3,44,18.0615
3,76,9.3317
3,106,8.1536
5,199,68.6321
5,76,17.8828
5,82,2.8912
6,44,20.7375
6,167,14.7644
7,76,17.7029
7,166,3.8888
8,222,5.4745
9,29,26.7122
9,44,18.4071
10,174,26.2168
10,44,13.7840
11,147,12.0232
12,44,21.8747
12,108,7.2276
13,82,36.5383
13,106,6.0855
13,44,5.7227
14,174,16.7846
14,215,14.6568
14,44,11.1597
15,47,10.0381
16,44,9.6941
17,44,30.9398
17,99,14.3599
17,191,5.8104
18,213,17.9273
18,44,5.9257
19,174,58.6231
19,44,7.8582
19,82,4.7359
20,147,17.2005
20,82,13.8443
20,76,9.4818
21,44,11.2437
21,135,11.1595
22,99,19.0037
22,208,14.3955
22,44,7.8518
23,38,9.0954
23,222,3.4859
24,99,77.0747
24,208,5.0175
25,44,20.7232
25,29,16.1023
25,9,11.5991
27,82,11.5981
27,106,11.3603
27,188,11.1673
28,197,64.3036
28,38,8.8443
28,144,6.7075
29,44,18.1238
29,9,6.2589
30,205,4.5405
31,44,20.8090
31,191,18.4539
31,126,18.2339
32,82,12.2285
32,174,10.2447
32,106,7.2428
33,44,13.9553
33,76,8.5724
34,99,13.9914
34,44,13.7944
34,186,9.4113
35,167,42.9325
35,199,12.6049
35,106,6.1491
36,44,36.7872
36,208,15.4397
36,230,11.4461
37,44,17.2225
37,76,9.8019
37,208,5.7417
38,44,12.6412
38,135,6.3257
39,147,16.9605
39,82,15.9256
40,76,26.1334
40,37,12.1477
40,20,8.1352
41,44,20.7491
41,76,17.1627
41,37,8.9300
43,44,23.5948
43,29,9.0016
44,108,8.9920
45,44,44.7896
45,191,6.4426
46,44,31.4195
46,45,8.5287
47,44,19.0107
47,135,7.4634
48,223,27.3262
48,44,19.1749
48,76,9.8854
49,144,8.7468
49,76,7.9981
49,6,7.0003
50,149,52.1765
50,74,9.2792
50,106,5.5825
51,44,13.1028
51,135,7.0471
52,44,13.4709
52,76,11.0532
52,152,9.2255
53,82,15.7935
53,106,12.9124
53,194,10.7117
54,44,21.3268
54,199,15.5668
54,135,5.9410
56,85,18.8838
56,106,7.3845
56,44,7.1524
57,82,24.7162
57,44,15.0564
57,166,7.4380
58,44,92.6577
58,174,2.3895
58,99,1.6557
59,44,18.1487
59,197,15.8086
59,234,14.4668
60,82,22.4918
60,204,11.7907
60,147,7.6375
61,44,49.2283
61,99,6.0623
61,186,4.9297
62,44,13.7515
62,135,7.3120
63,44,13.2036
63,135,4.6077
64,44,18.9082
64,47,7.8596
65,44,12.2181
65,82,6.8059
65,106,6.3192
66,44,13.6579
66,90,9.8895
67,199,20.9501
67,44,20.2253
68,65,28.8818
68,44,11.7568
68,106,8.2112
69,82,9.9660
69,174,9.7678
69,75,9.4191
70,197,77.6294
70,44,6.5759
70,99,2.2435
71,44,31.8815
71,99,7.4544
72,222,54.1689
72,199,29.5176
72,147,6.1089
73,60,56.5552
73,156,12.1714
73,82,5.6002
74,191,20.8446
74,44,16.3197
74,12,15.7220
75,82,15.1944
75,174,13.9014
75,204,10.7583
76,82,15.8338
76,44,9.0357
76,106,7.6728
78,76,44.5071
78,149,8.3699
79,76,20.6989
79,44,19.4774
79,117,9.8603
80,187,17.8009
80,44,8.3248
81,215,16.1151
81,174,10.2571
81,44,9.1381
82,44,9.9745
82,147,8.0838
82,76,6.2561
83,44,19.1289
83,20,5.8175
84,147,7.6132
84,222,7.0192
85,82,10.0765
85,102,8.2480
85,174,7.5170
86,60,72.1725
86,204,9.8354
86,44,2.5793
87,222,6.8972
87,44,4.5326
90,44,10.7192
90,135,10.6893
91,44,30.7027
91,147,11.8758
91,99,8.8340
92,167,30.2289
92,187,18.2441
92,44,10.1144
93,213,18.1663
93,44,5.5011
94,44,13.6289
96,44,15.0488
96,90,8.6269
97,82,26.5388
97,13,6.1736
97,166,5.5978
98,156,11.4815
98,44,8.8495
98,82,8.7353
99,44,16.1969
99,221,5.2056
100,44,24.1310
100,191,11.3610
100,108,9.5260
101,44,25.4109
101,221,15.8488
102,215,7.5547
102,44,7.2599
103,222,21.9281
103,76,12.5961
105,44,13.6660
105,215,8.1118
106,82,16.3341
106,76,8.7806
106,44,7.0933
107,108,6.2898
107,44,6.2662
108,44,24.4952
108,12,5.8034
109,44,13.5461
109,186,13.4994
110,174,39.0954
110,44,15.9894
110,82,5.0573
111,44,22.6390
111,99,9.8763
111,221,8.0188
112,12,21.8243
112,74,21.7720
112,44,9.5730
113,44,16.3729
113,221,8.7222
114,44,40.2159
114,174,24.8127
114,110,9.7419
115,208,61.8803
115,44,18.2409
115,230,10.0557
116,122,17.4848
116,82,10.5742
116,166,8.9084
117,13,27.1077
117,44,10.9621
118,197,70.7380
118,44,14.8410
119,44,6.5042
119,99,2.3015
120,106,12.7409
120,44,11.3038
120,215,9.2736
122,174,14.7496
122,82,11.9223
122,166,11.3367
123,20,24.2721
123,82,24.0597
123,76,11.8459
124,44,20.7561
124,221,7.5647
124,99,7.4790
125,197,17.7522
125,44,14.6794
125,99,10.9174
126,44,19.6230
126,191,11.0636
127,221,18.5611
127,191,13.4907
127,99,12.0171
128,187,20.5181
128,44,15.2208
129,106,19.1908
129,38,8.9606
130,44,1.7472
132,221,8.9096
132,156,7.8401
133,44,16.3963
133,99,16.3842
133,197,8.5123
135,44,17.9863
135,108,3.9187
136,44,13.3771
138,44,32.5676
138,174,28.1093
138,108,8.3727
139,188,21.5195
139,44,9.6123
139,82,8.5132
140,222,11.3947
140,108,3.3453
141,199,16.8753
141,76,11.8812
141,44,9.0474
142,197,26.1234
142,44,11.7818
142,221,7.6468
143,44,31.7645
143,191,15.2239
143,208,11.2534
144,197,55.1203
144,32,6.5061
144,28,6.0956
146,99,64.9512
146,44,12.6265
147,82,18.4650
147,20,10.7040
147,44,9.0194
148,76,40.7180
148,12,13.8979
148,191,11.2174
149,44,19.7627
149,12,11.4751
150,44,15.2178
150,135,11.0310
151,76,28.3441
151,44,16.1702
152,44,18.7007
152,20,12.8638
152,147,9.1986
154,82,11.6040
154,222,9.5370
154,85,8.4709
155,45,12.9311
156,204,11.4812
156,82,11.0925
156,44,9.8331
157,221,38.8983
157,44,5.9061
158,44,19.0599
158,108,17.6082
159,44,24.1755
159,221,14.4086
159,186,5.3893
160,191,15.2676
160,108,12.5415
161,44,31.3296
161,191,18.9314
162,12,29.8090
162,44,17.6631
162,191,10.3925
163,44,28.2300
163,29,22.3325
163,9,9.9777
164,44,22.2846
164,29,6.1682
165,44,19.6277
165,108,9.9068
166,82,22.6943
166,44,12.1454
166,174,6.7718
167,199,31.4588
167,82,13.8573
167,76,7.6398
169,44,10.3561
169,82,9.2652
170,44,20.4526
170,108,11.5210
171,173,14.3753
171,174,11.8332
171,220,10.5787
173,82,20.0744
173,106,10.0428
173,97,7.4776
174,44,21.1966
174,82,9.9646
175,44,21.2438
175,219,11.2355
175,111,7.8365
177,222,44.6445
177,197,43.0564
177,85,7.8378
178,213,4.4071
178,38,2.6808
179,213,15.0165
181,76,57.4346
181,38,34.2621
181,147,3.9828
182,213,15.7320
182,222,7.3795
183,149,26.4114
183,191,16.5572
185,167,54.4637
185,6,19.7976
