countryID laborForceParticipationRate unemploymentRate percentEmplAgriculture percentEmplIndustry percentEmplServices
20 53.2 6.5 1.23 21.15 77.62
29 63.8 11.6 9.97 20.89 69.14
38 65.0 5.9 1.9 19.31 78.8
44 68.2 4.8 15.5 26.04 58.46
76 54.9 8.6 2.77 20.17 77.07
82 60.6 3.6 1.24 26.78 71.98
101 43.8 12.2 15.93 32.42 51.65
106 48.7 10.4 3.81 25.98 70.22
147 63.2 3.4 2.13 16.17 81.71
167 58.3 6.7 6.52 24.34 69.15
199 57.0 13.4 3.96 19.11 76.94
205 68.1 4.7 3.38 20.41 76.21
215 52.4 11.2 18.28 27.04 54.68
222 62.3 3.9 1.07 18.12 80.81
224 61.7 4.1 1.61 18.66 79.73
