countryID,totalPublicExp,primaryEdPercent,secondaryEdPercent,tertiaryEdPercent
1,15.6614,44.1906,22.2537,15.9538
2,13.597000000000001,56.7669,25.3694,19.0985
3,11.4284,NULL,NULL,26.9726
4,NULL,NULL,NULL,11.1848
5,NULL,22.0479,24.7644,5.6752
6,8.6848,31.4335,42.4243,8.7012
7,NULL,39.4499,56.0897,2.8498
8,6.9281,41.6132,48.3925,7.3531
9,13.3762,30.074,40.9361,20.3676
10,10.1972,20.6657,51.0743,13.184000000000001
11,NULL,27.5259,33.2456,18.3915
12,14.0758,31.7843,30.5254,28.8554
13,10.6935,16.5679,39.8774,32.6336
14,8.2012,NULL,72.4274,17.0826
15,18.9228,NULL,NULL,NULL
16,7.1804,32.9869,44.2246,24.4047
17,11.4194,44.6029,64.3283,33.2774
18,12.8792,29.6064,39.3067,28.5407
19,12.2817,NULL,50.4586,16.4784
20,12.1689,23.5356,42.1315,22.1288
21,21.680999999999997,31.7646,40.988,10.9318
22,18.7914,49.8087,23.7353,22.149
23,NULL,32.1581,44.3947,16.9849
24,24.041,31.9708,41.4911,10.3284
25,16.8421,41.6101,27.0976,26.2225
26,NULL,NULL,NULL,NULL
27,NULL,NULL,NULL,NULL
28,20.4774,17.8223,32.6955,41.5094
29,16.2488,25.6151,41.3708,21.454
30,NULL,29.8569,35.0716,35.0716
31,11.442,19.5228,60.8444,18.8945
32,11.4398,19.6964,38.9119,15.9161
33,18.0271,57.868,22.0908,13.6521
34,20.4014,45.43,26.8172,24.2337
35,16.3829,38.0945,39.9285,17.1511
36,8.7916,48.4539,44.0513,6.1
37,15.4686,33.8793,52.5531,10.2072
38,12.2191,NULL,26.4043,35.5994
39,NULL,45.9737,54.0264,NULL
40,7.8255,53.263999999999996,23.995,27.2911
41,12.4615,46.7001,24.7124,31.7008
42,NULL,NULL,NULL,NULL
43,21.1555,28.083000000000002,29.069000000000003,25.3955
44,NULL,NULL,NULL,NULL
45,17.8413,21.6932,32.6556,28.4948
46,NULL,24.7961,60.7267,39.2734
47,15.1697,36.4018,38.7286,18.4707
48,15.2701,54.6121,27.6931,10.4117
49,7.9504,30.9983,53.3317,10.8726
50,NULL,40.3611,40.6087,11.5484
51,NULL,28.9201,31.6943,23.6386
52,18.6235,41.4065,34.1987,21.4443
53,9.4946,NULL,NULL,21.8553
54,NULL,29.035,29.1078,25.1173
55,NULL,27.4655,33.929,5.2501
56,16.2763,32.2075,41.3118,20.7041
57,13.8825,13.2809,29.8045,13.3279
58,NULL,NULL,NULL,NULL
59,11.7108,61.5936,14.36,23.8056
60,13.8268,27.2067,40.0023,30.6828
61,12.3284,34.0865,37.2825,16.4995
62,10.5221,45.8287,43.3707,8.8625
63,12.5779,58.678999999999995,17.9537,14.535
64,12.5977,23.2552,12.1114,43.5137
65,10.9418,NULL,NULL,NULL
66,15.634,45.606,34.8912,9.3715
67,NULL,NULL,NULL,NULL
68,5.1681,23.0667,21.0942,31.8975
69,12.9666,23.8619,25.8999,27.0437
70,24.9452,50.7877,34.054,13.3328
71,27.0987,27.4527,18.1389,47.8522
72,NULL,NULL,NULL,NULL
73,NULL,NULL,NULL,NULL
74,14.3004,38.6039,15.9448,22.563000000000002
75,12.4122,20.2441,37.4682,26.6963
76,9.6202,20.7152,43.4031,22.7907
77,NULL,NULL,NULL,NULL
78,NULL,NULL,NULL,NULL
79,11.2255,29.2355,28.9388,37.826
80,10.3578,55.1841,30.2313,14.5687
81,12.9534,34.3393,32.1288,10.0781
82,10.9935,12.9331,41.8547,25.9491
83,20.0976,21.6973,36.9819,18.2652
84,NULL,NULL,NULL,NULL
85,8.7002,NULL,33.9436,36.0952
86,NULL,NULL,NULL,NULL
87,42.7886,56.7574,23.3707,9.5731
88,NULL,NULL,NULL,NULL
89,NULL,NULL,NULL,NULL
90,23.0881,56.4745,13.1436,13.222000000000001
91,13.3768,40.5216,22.6965,36.6839
92,16.1914,64.4178,30.4441,3.8982
93,18.2761,30.5554,33.2507,5.0622
94,13.1307,NULL,NULL,NULL
95,NULL,NULL,NULL,NULL
96,22.0249,48.9004,25.2904,13.6922
97,9.1391,16.3961,38.0975,14.3328
98,18.158,28.628,28.1298,18.8888
99,14.0502,28.4012,41.3529,28.5269
100,20.5033,42.5999,26.9961,15.8002
101,20.042,30.1244,33.0383,32.6315
102,NULL,NULL,NULL,NULL
103,13.0293,36.8693,33.2975,23.3454
