countryId,gdp,gdpPerCapita,rdGDPExp,healthGDPExp
1,"21,993",619,NULL,11.7772
2,"13,039","4,450",NULL,NULL
3,"167,555","4,055",NULL,6.3743
4,NULL,NULL,NULL,NULL
5,"3,013","39,153",NULL,10.3206
6,"126,506","4,247",NULL,2.7915
7,281,"18,861",NULL,NULL
8,"1,510","14,803",NULL,4.5335
9,"637,486","14,400",NULL,9.1243
10,"11,537","3,937",0.2000,10.3627
11,"2,701","25,655",NULL,NULL
12,"1,408,676","57,613",NULL,9.2059
13,"416,836","47,718",3.1000,10.3966
14,"40,749","4,146",0.2000,6.6518
15,"11,792","29,825",NULL,5.7589
16,"35,326","23,668",NULL,4.7481
17,"245,633","1,492",NULL,2.2742
18,"4,713","16,494",NULL,6.7791
19,"54,441","5,750",0.5000,5.9258
20,"494,764","43,289",2.5000,10.3387
21,"1,902","5,077",NULL,5.6428
22,"9,236",826,NULL,3.7186
23,"6,269","102,192",NULL,NULL
24,"2,562","3,173",NULL,3.1870
25,"37,509","3,394",NULL,6.4432
26,NULL,NULL,NULL,NULL
27,"18,169","5,181",0.2000,8.9317
28,"17,407","7,596",NULL,6.1346
29,"2,055,512","9,821",NULL,9.4675
30,996,"31,917",NULL,NULL
31,"12,128","28,291",NULL,2.3732
32,"58,222","8,218",0.8000,8.0956
33,"12,325",642,NULL,6.9151
34,"3,155",290,NULL,7.5176
35,"1,773","3,245",NULL,5.1655
36,"22,121","1,382",NULL,5.9188
37,"34,924","1,452",NULL,4.6707
38,"1,647,120","44,974",1.6000,10.5728
39,"4,030","65,472",NULL,NULL
40,"1,993",428,NULL,5.8218
41,"10,717",719,0.3000,4.4873
42,NULL,NULL,NULL,NULL
43,"277,081","15,347",0.4000,8.9835
44,"12,237,782","8,682",2.1000,5.1512
45,"341,659","46,390",0.8000,NULL
46,"50,361","80,893",0.2000,NULL
47,"309,191","6,302",0.3000,7.2263
48,"1,082","1,330",NULL,7.3844
49,"11,292","2,147",NULL,2.9303
50,309,"17,798",NULL,3.3078
51,"57,565","11,734",NULL,7.3288
52,"38,055","1,566",NULL,4.4530
53,"55,201","13,177",0.9000,6.7891
54,"96,851","8,433",0.3000,11.7113
55,NULL,NULL,NULL,NULL
56,"22,054","25,790",0.5000,6.6846
57,"215,825","20,326",1.7000,7.2313
58,"17,365",685,NULL,NULL
59,"37,642",463,NULL,3.9787
60,"329,866","57,533",2.9000,10.1083
61,"1,845","1,928",NULL,3.3165
62,497,"6,719",NULL,5.8769
63,"75,932","7,052",NULL,6.1364
64,"104,296","6,273",NULL,8.2574
65,"195,136","2,000",0.7000,5.2876
66,"24,805","3,889",NULL,7.2276
67,"12,487","9,850",NULL,3.1071
68,"5,813","1,147",NULL,2.8700
69,"25,921","19,793",1.3000,6.4294
70,"4,409","3,224",NULL,6.9304
71,"75,605",720,NULL,3.5026
72,NULL,NULL,NULL,NULL
73,NULL,NULL,NULL,NULL
74,"4,874","5,382",NULL,3.5007
75,"252,247","45,670",2.7000,9.2069
76,"2,582,492","38,415",2.2000,11.3129
77,NULL,NULL,NULL,NULL
78,"5,606","19,807",NULL,NULL
79,"14,623","7,221",NULL,2.7807
80,"1,489",709,NULL,3.2821
81,"15,159","3,875",0.3000,7.6017
82,"3,693,204","44,976",2.9000,11.2468
83,"58,996","2,046",NULL,3.2624
84,NULL,NULL,NULL,NULL
85,"203,086","18,198",1.0000,8.0414
86,"2,790","49,398",NULL,NULL
87,"1,127","10,451",NULL,4.7571
88,NULL,NULL,NULL,NULL
89,NULL,NULL,NULL,NULL
90,"75,620","4,471",NULL,5.8138
91,"10,208",803,NULL,4.1231
92,"1,347",724,NULL,7.2359
93,"3,543","4,555",NULL,4.9455
94,"8,521",776,NULL,8.0355
95,NULL,NULL,NULL,NULL
96,"22,979","2,480",NULL,7.8584
97,"139,761","14,376",1.2000,6.8800
98,"24,477","73,060",2.1000,8.3263
99,"2,575,667","1,923",NULL,3.5350
100,"1,015,539","3,847",NULL,2.9891
101,"460,976","5,680",NULL,8.6597
102,"182,024","4,756",0.0000,4.1666
103,"331,430","69,604",1.2000,7.1844
104,NULL,NULL,NULL,NULL
105,"353,268","42,452",4.3000,7.4075
106,"1,943,835","32,747",1.3000,8.8403
107,"14,827","5,130",NULL,5.9884
108,"4,872,415","38,220",3.1000,10.9359
109,"40,708","4,196",0.3000,8.1193
110,"159,407","8,756",0.1000,3.1254
111,"74,938","1,508",NULL,4.8025
