countryID,laborForceParticipationRate,unemploymentRate,percentEmplAgriculture,percentEmplIndustry,percentEmplServices
1,66.0,8.8,61.72,6.82,31.46
2,55.9,15.1,37.77,18.8,43.44
3,41.2,9.9,12.61,46.66,40.73
4,NULL,NULL,NULL,NULL,NULL
5,NULL,NULL,NULL,NULL,NULL
6,77.6,8.9,50.03,8.72,41.25
7,NULL,NULL,NULL,NULL,NULL
8,NULL,NULL,NULL,NULL,NULL
9,60.4,7.9,0.51,23.08,76.41
10,58.9,18.4,32.64,16.18,51.18
11,NULL,NULL,NULL,NULL,NULL
12,64.9,5.5,2.5,18.79,78.71
13,60.1,5.4,4.16,25.3,70.55
14,66.1,5.0,37.34,13.81,48.85
15,74.5,11.4,3.97,11.7,84.34
16,73.3,1.2,1.06,36.08,62.86
17,58.7,4.4,36.43,21.57,42.0
18,65.1,9.4,2.85,19.07,78.08
19,63.3,0.5,9.42,30.81,59.76
20,53.2,6.5,1.23,21.15,77.62
21,67.4,9.3,15.26,15.27,69.48
22,71.3,2.3,41.5,18.72,39.79
23,NULL,NULL,NULL,NULL,NULL
24,67.1,2.5,54.76,9.73,35.5
25,67.9,3.2,26.02,22.53,51.45
26,NULL,NULL,NULL,NULL,NULL
27,46.7,26.5,18.09,32.07,49.84
28,72.6,17.8,25.19,13.7,61.11
29,63.8,11.6,9.97,20.89,69.14
30,NULL,NULL,NULL,NULL,NULL
31,64.9,6.8,0.5,17.14,82.36
32,55.2,4.4,5.89,28.85,65.26
33,66.5,6.2,26.99,31.93,41.08
34,79.0,1.5,91.43,2.48,6.09
35,69.3,10.4,66.77,6.92,26.31
36,81.3,0.3,24.74,26.8,48.46
37,76.1,4.2,61.19,9.32,29.49
38,65.0,5.9,1.9,19.31,78.8
39,NULL,NULL,NULL,NULL,NULL
40,72.1,5.6,85.58,7.88,6.55
41,71.3,5.9,86.96,4.95,8.09
42,57.1,9.2,19.74,29.64,50.63
43,62.5,7.1,9.18,22.66,68.16
44,68.2,4.8,15.5,26.04,58.46
45,60.0,2.9,0.21,12.85,86.95
46,70.5,2.0,0.52,19.63,79.84
47,70.0,9.2,15.75,19.18,65.07
48,44.2,4.3,54.55,15.49,29.96
49,69.1,11.5,37.07,25.87,37.06
50,NULL,NULL,NULL,NULL,NULL
51,60.1,7.9,11.21,18.53,70.26
52,57.3,2.6,46.54,6.29,47.17
53,51.5,8.4,7.13,26.64,66.24
54,53.5,2.6,18.22,16.52,65.26
55,NULL,NULL,NULL,NULL,NULL
56,62.0,9.9,3.41,16.84,79.75
57,60.0,2.1,2.72,37.13,60.15
58,80.5,4.7,66.86,17.5,15.64
59,63.4,3.7,82.0,11.0,7.0
60,61.9,5.3,2.48,18.51,79.01
61,63.0,5.8,28.3,30.18,41.53
62,NULL,NULL,NULL,NULL,NULL
63,64.1,5.5,11.37,17.66,70.97
64,69.0,4.2,26.53,18.58,54.89
65,48.1,11.6,23.99,25.76,50.26
66,61.1,4.6,18.32,21.07,60.62
67,62.3,8.1,60.79,6.18,33.03
68,80.5,6.2,83.76,7.02,9.22
69,63.1,5.5,3.69,29.33,66.99
70,53.2,26.5,69.47,12.31,18.23
71,80.4,5.4,66.49,9.82,23.7
72,NULL,NULL,NULL,NULL,NULL
73,NULL,NULL,NULL,NULL,NULL
74,57.2,6.2,37.75,13.28,48.98
75,58.3,8.1,3.74,21.81,74.45
76,54.9,8.6,2.77,20.17,77.07
77,NULL,NULL,NULL,NULL,NULL
78,54.2,20.2,8.44,17.36,74.2
79,52.3,19.2,41.67,12.65,45.68
80,59.6,9.5,26.61,15.5,57.89
81,67.6,11.6,38.82,12.86,48.32
82,60.6,3.6,1.24,26.78,71.98
83,67.4,2.5,38.34,14.33,47.33
84,NULL,NULL,NULL,NULL,NULL
85,52.5,19.5,11.66,15.31,73.03
86,NULL,NULL,NULL,NULL,NULL
87,NULL,NULL,NULL,NULL,NULL
88,NULL,NULL,NULL,NULL,NULL
89,64.6,6.5,8.57,16.02,75.41
90,62.3,2.6,28.66,21.09,50.25
91,64.6,4.5,67.74,6.02,26.24
92,73.0,6.0,83.25,6.87,9.88
93,57.5,11.8,12.91,26.31,60.78
94,68.1,13.8,39.92,12.79,47.29
95,NULL,NULL,NULL,NULL,NULL
96,65.2,4.3,27.79,21.32,50.89
97,56.1,3.5,4.63,29.68,65.7
98,76.0,2.9,2.95,14.99,82.06
99,51.8,3.5,40.5,24.06,35.44
100,67.1,4.5,29.38,21.05,49.58
101,43.8,12.2,15.93,32.42,51.65
102,42.6,8.3,18.65,19.68,61.68
103,61.1,6.0,5.19,18.82,76.0
104,NULL,NULL,NULL,NULL,NULL
105,64.0,3.8,1.03,17.02,81.95
106,48.7,10.4,3.81,25.98,70.22
107,67.2,11.9,18.09,15.42,66.49
108,60.6,2.4,3.35,25.19,71.46
109,39.2,14.5,3.6,26.87,69.53
110,70.5,5.2,17.43,20.76,61.81
111,66.3,11.4,36.4,14.3,49.3
112,NULL,NULL,NULL,NULL,NULL
113,73.8,2.0,3.38,26.44,70.18
114,61.4,7.4,25.6,22.27,52.12
115,78.3,0.7,58.43,9.99,31.59
116,60.7,8.5,7.05,23.62,69.33
117,47.3,6.7,3.03,20.15,76.82
118,67.1,28.2,10.01,40.32,49.67
119,56.0,2.5,41.63,11.99,46.38
120,52.4,15.0,10.6,24.68,64.72
121,NULL,NULL,NULL,NULL,NULL
122,61.1,6.8,7.29,24.43,68.28
123,58.0,5.2,0.94,11.5,87.57
124,86.5,1.8,73.93,9.28,16.79
125,77.4,6.0,84.64,8.4,6.97
126,64.8,3.3,10.33,27.02,62.65
127,65.6,4.9,6.99,24.52,68.5
128,71.0,8.1,56.06,8.57,35.38
129,54.6,3.8,1.21,18.87,79.92
130,NULL,NULL,NULL,NULL,NULL
131,NULL,NULL,NULL,NULL,NULL
132,46.3,9.9,75.3,7.17,17.53
133,57.9,7.0,6.87,25.47,67.67
134,NULL,NULL,NULL,NULL,NULL
135,61.1,3.3,12.87,25.89,61.24
136,NULL,NULL,NULL,NULL,NULL
137,NULL,NULL,NULL,NULL,NULL
138,59.7,6.2,28.91,19.42,51.67
139,50.5,16.2,7.17,17.94,74.9
140,NULL,NULL,NULL,NULL,NULL
141,45.2,9.3,36.41,19.55,44.04
142,78.4,24.8,73.23,4.79,21.97
143,61.8,0.8,46.8,17.12,36.08
144,61.2,23.2,19.56,19.77,60.67
145,NULL,NULL,NULL,NULL,NULL
146,82.9,2.7,70.55,8.31,21.14
147,63.2,3.4,2.13,16.17,81.71
148,62.4,14.8,3.27,31.49,65.24
149,69.9,5.2,6.45,19.9,73.65
150,66.8,4.5,28.2,17.74,54.06
151,78.7,0.4,74.84,7.72,17.44
152,55.2,7.0,36.1,11.76,52.15
153,NULL,NULL,NULL,NULL,NULL
154,54.9,22.0,15.7,29.47,54.83
155,NULL,NULL,NULL,NULL,NULL
156,63.4,3.9,2.02,19.49,78.49
