countryId,migrantPercentOfPop,numRefugeesAndAsylum,tourismExp,numTourists
1,0.3761,2537063.0000,16.0000,NULL
2,1.7911,3977.0000,2050.0000,5340.0000
3,0.6017,185767.0000,172.0000,2657.0000
4,42.3447,NULL,22.0000,20.2000
5,53.3216,NULL,NULL,3042.0000
6,2.1438,68076.0000,884.0000,218.0000
7,37.4204,1.0000,141.0000,55.0000
8,28.0810,2.0000,737.0000,269.0000
9,4.8893,90887.0000,5835.0000,6942.0000
10,6.5082,18897.0000,1140.0000,1652.0000
11,34.5379,293.0000,1857.0000,1082.0000
12,28.7746,102257.0000,43975.0000,9246.0000
13,19.0063,169062.0000,20333.0000,30816.0000
14,2.6379,617656.0000,3214.0000,2633.0000
15,15.6328,31.0000,3017.0000,1633.0000
16,48.4160,391.0000,4380.0000,12045.0000
17,0.9115,943375.0000,348.0000,NULL
18,12.1308,2.0000,NULL,680.0000
19,11.3922,8636.0000,1124.0000,11501.6000
20,11.0979,83467.0000,9636.0000,9119.0000
21,16.0131,6216.0000,427.0000,489.0000
22,2.2664,1421.0000,160.0000,295.0000
23,30.8954,NULL,513.0000,282.0000
24,6.4754,NULL,153.0000,274.0000
25,1.3467,1060.0000,912.0000,1142.0000
26,53.1853,NULL,NULL,NULL
27,1.0579,152791.0000,985.0000,1053.0000
28,7.2624,2403.0000,541.6000,NULL
29,0.3515,143912.0000,6175.0000,6621.0000
30,63.9794,1.0000,NULL,192.0000
31,25.3354,20524.0000,177.0000,278.0000
32,2.1710,20884.0000,4678.0000,9273.0000
33,3.6936,41227.0000,172.0000,144.0000
34,2.7574,152966.0000,NULL,NULL
35,2.7993,115.0000,450.0000,710.0000
36,0.4769,114.0000,4024.0000,6201.0000
37,2.2461,590810.0000,543.0000,NULL
38,21.4646,177743.0000,NULL,21134.0000
39,39.5637,65.0000,782.0000,463.0000
40,1.9054,782426.0000,NULL,NULL
41,3.2865,618873.0000,NULL,NULL
42,50.2571,NULL,NULL,NULL
43,2.7061,101302.0000,4372.0000,5723.0000
44,0.0709,322431.0000,38559.0000,62900.0000
45,39.1459,106.0000,38170.0000,29263.0000
46,56.8058,2.0000,36465.0000,18493.0000
47,0.2901,7871980.0000,5882.0000,3904.0000
48,1.5426,NULL,60.6000,35.9000
49,7.5824,220435.0000,NULL,156.0000
50,24.2405,NULL,153.0000,169.0000
51,8.4434,18140.0000,3826.0000,3017.0000
52,9.0437,694781.0000,508.0000,1965.0000
53,13.3787,9282.0000,11128.0000,16645.0000
54,0.1144,308.0000,3302.0000,4684.0000
55,23.9169,814.0000,572.0000,432.0000
56,16.0208,23361.0000,3274.0000,3939.0000
57,4.0806,5925.0000,7695.0000,NULL
58,0.1920,NULL,NULL,NULL
59,1.0809,5237818.0000,6.0000,NULL
60,11.4552,47535.0000,8508.0000,12749.0000
61,12.1307,27481.0000,36.2000,NULL
62,9.1742,NULL,161.0000,63.0000
63,3.9469,27320.0000,7184.0000,6569.0000
64,2.4004,227898.0000,1554.0000,2535.0000
65,0.4903,300370.0000,8636.0000,11196.0000
66,0.6636,73450.0000,1227.0000,1677.3000
67,17.5015,NULL,NULL,NULL
68,0.3165,2396.0000,NULL,NULL
69,14.7341,79432.0000,2126.0000,3234.0000
70,2.4328,1484.0000,13.2000,782.0000
71,1.1692,2128440.0000,2505.0000,849.0000
72,54.2612,NULL,NULL,NULL
73,11.6352,NULL,NULL,NULL
74,1.5363,23.0000,1243.0000,870.0000
75,6.2207,38245.0000,5207.0000,3224.0000
76,12.1620,424021.0000,67936.0000,89322.0000
77,39.5139,NULL,NULL,NULL
78,10.8432,NULL,NULL,216.3000
79,13.8360,922.0000,NULL,NULL
80,9.7623,8826.0000,116.0000,552.0000
81,1.9994,283113.0000,2971.0000,4757.0000
82,14.8148,1430223.0000,56330.0000,38881.0000
83,1.4485,13114.0000,919.0000,NULL
84,32.2583,NULL,NULL,NULL
85,10.9357,112415.0000,19139.0000,30123.0000
86,10.6480,NULL,NULL,NULL
87,6.6070,5.0000,482.0000,185.0000
88,22.0990,NULL,NULL,735.0000
89,47.5111,NULL,NULL,1549.0000
90,0.4820,41237.0000,1566.0000,1781.0000
91,0.9656,5040.0000,16.6000,NULL
92,1.2575,11175.0000,16.3000,NULL
93,1.9965,24.0000,95.0000,287.0000
94,0.3691,3009.0000,460.0000,447.0000
95,100.0000,NULL,NULL,NULL
96,0.4177,176550.0000,722.0000,NULL
97,5.1822,6266.0000,8448.0000,17552.0000
98,12.4925,842.0000,3024.0000,2343.8000
99,0.3874,208301.0000,27878.0000,17423.0000
100,0.1310,13929.0000,14691.0000,15810.0000
101,3.3256,979521.0000,4632.0000,7295.0000
102,0.9577,2963669.0000,2959.0000,NULL
103,16.9384,13060.0000,14294.0000,10926.0000
104,54.4236,NULL,NULL,NULL
105,23.5788,53917.0000,7578.0000,4121.0000
106,9.9519,313498.0000,46719.0000,61567.2000
107,0.8073,37.0000,2809.0000,2473.0000
108,1.8210,34293.0000,36978.0000,31192.0000
109,33.3275,752748.0000,5549.0000,4150.0000
110,19.9685,8170.0000,2356.0000,NULL
111,2.1702,487335.0000,1564.0000,NULL
112,2.5963,NULL,4.1000,7.1000
113,75.5085,93624.0000,643.0000,8508.0000
114,3.3133,1617.0000,480.0000,6947.0000
115,0.6629,NULL,655.0000,3770.0000
116,13.1760,234282.0000,NULL,1946.0000
117,31.8826,994518.0000,8086.0000,1964.0000
118,0.3022,119.0000,23.0000,1173.0000
119,2.0844,9936.0000,NULL,NULL
120,12.3681,295255.0000,NULL,NULL
121,65.0889,277.0000,NULL,85.3000
122,4.3146,5028.0000,1325.0000,2825.0000
123,45.2602,3144.0000,4993.0000,1018.0000
124,0.1324,128.0000,849.0000,291.0000
125,1.2732,37664.0000,35.0000,871.0000
126,8.5492,248781.0000,20311.0000,25832.0000
127,15.3613,NULL,2771.0000,1484.0000
128,2.0695,89939.0000,206.4000,NULL
129,10.5699,9839.0000,1746.0000,2599.0000
130,6.1965,NULL,18.1000,6.8000
131,15.9989,NULL,510.0000,537.0000
132,3.8107,84866.0000,24.0000,NULL
133,2.2696,4.0000,2005.0000,1399.0000
134,29.4015,NULL,NULL,NULL
135,0.9478,99895.0000,22467.0000,41313.0000
136,2.6387,NULL,NULL,19.2000
137,54.9296,25.0000,NULL,347.0000
138,0.5919,31.0000,462.0000,529.0000
139,11.2859,14547.0000,1110.0000,2077.0000
140,26.3473,NULL,8.4000,8.8000
141,0.2681,7204.0000,9086.0000,12289.0000
142,0.8324,47424.0000,164.0000,2743.0000
