countryID,totalPublicExp,primaryEdPercent,secondaryEdPercent,tertiaryEdPercent
20,12.1689,23.5356,23.5356,23.5356
29,16.2488,25.6151,25.6151,25.6151
38,12.2191,NULL,NULL,NULL
44,NULL,NULL,NULL,NULL
76,9.6202,20.7152,20.7152,20.7152
82,10.9935,12.9331,12.9331,12.9331
101,20.042,30.1244,30.1244,30.1244
106,8.113,24.9722,24.9722,24.9722
147,12.2539,22.3461,22.3461,22.3461
167,10.152,28.9628,28.9628,28.9628
199,9.771,26.6422,26.6422,26.6422
205,15.5267,28.9482,28.9482,28.9482
215,12.839,22.8837,22.8837,22.8837
222,13.917,33.3639,33.3639,33.3639
224,13.5948,30.9646,30.9646,30.9646
