countryID totalPublicExp primaryEdPercent secondaryEdPercent tertiaryEdPercent
20 12.1689 23.5356 42.1315 22.1288
29 16.2488 25.6151 41.3708 21.454
38 12.2191 NULL 26.4043 35.5994
44 NULL NULL NULL NULL
76 9.6202 20.7152 43.4031 22.7907
82 10.9935 12.9331 41.8547 25.9491
101 20.042 30.1244 33.0383 32.6315
106 8.113 24.9722 42.743 18.5992
147 12.2539 22.3461 40.907 30.1259
167 10.152 28.9628 42.6078 18.3043
199 9.771 26.6422 36.8038 22.358
205 15.5267 28.9482 35.571 26.0032
215 12.839 22.8837 37.8214 34.5766
222 13.917 33.3639 37.4718 24.181
224 13.5948 30.9646 34.5549 27.5023
