countryId,exportToCountryId,percentExportOfTotalTrade
20,82,16.6060
20,76,14.8860
20,147,12.0072
29,44,21.8098
38,44,4.3238
38,222,3.2418
76,82,14.8284
76,199,7.6790
76,106,7.5925
82,76,8.2212
82,44,6.7380
101,44,8.5642
106,82,12.4865
106,76,10.3002
147,82,21.9111
147,20,10.2549
147,222,8.5802
167,199,25.3367
167,76,12.6801
167,82,11.4826
199,76,14.6908
199,82,10.9189
199,106,7.8481
205,82,15.2797
205,44,9.7450
215,82,9.6303
215,222,6.1170
222,82,9.5976
222,147,6.8043
224,38,18.2609
224,44,8.4040
