countryId,gdp,gdpPerCapita,rdGDPExp,healthGDPExp
20,"494,764","43,289",2.5000,10.3387
29,"2,055,512","9,821",NULL,9.4675
38,"1,647,120","44,974",1.6000,10.5728
44,"12,237,782","8,682",2.1000,5.1512
76,"2,582,492","38,415",2.2000,11.3129
82,"3,693,204","44,976",2.9000,11.2468
101,"460,976","5,680",NULL,8.6597
106,"1,943,835","32,747",1.3000,8.8403
147,"830,573","48,754",2.0000,10.1008
167,"195,041","18,882",1.3000,8.9696
199,"1,314,314","28,354",1.2000,8.8731
205,"678,938","80,101",NULL,12.3463
215,"851,542","10,546",NULL,4.2163
222,"2,631,228","39,758",1.7000,9.6317
224,"19,485,394","60,055",2.7000,17.0613
