countryId,gdp,gdpPerCapita,rdGDPExp,healthGDPExp
20,494764,43289,2.5000,10.3387
29,2055512,9821,NULL,9.4675
38,1647120,44974,1.6000,10.5728
44,12237782,8682,2.1000,5.1512
76,2582492,38415,2.2000,11.3129
82,3693204,44976,2.9000,11.2468
101,460976,5680,NULL,8.6597
106,1943835,32747,1.3000,8.8403
147,830573,48754,2.0000,10.1008
167,195041,18882,1.3000,8.9696
199,1314314,28354,1.2000,8.8731
205,678938,80101,NULL,12.3463
215,851542,10546,NULL,4.2163
222,2631228,39758,1.7000,9.6317
224,19485394,60055,2.7000,17.0613
