countryId,healthExp,physiciansPer1000,popUsingSafeSanitationFacilities,popUsingSafeWaterServices
20,15.3139,NULL,97.1002,99.5232
29,10.2553,2.2,49.2758,NULL
38,19.3279,2.6,82.0678,98.8609
44,9.0721,NULL,72.0823,NULL
76,15.4681,NULL,88.3714,97.8538
82,19.8808,NULL,97.2332,99.8
101,22.9360,NULL,NULL,91.7953
106,13.4217,4.1,96.208,95.0396
147,15.3043,NULL,97.4733,99.951
167,13.0133,NULL,84.7075,95.3119
199,15.2847,NULL,96.6202,98.4415
205,11.0236,NULL,99.5393,95.4554
215,9.6890,NULL,65.2002,NULL
222,18.7396,2.8,97.7545,99.9888
224,22.5492,NULL,89.967,99.0018
