countryId,importFromCountryId,percentImportOfTotalTrade
20,147,17.2005
20,82,13.8443
20,76,9.4818
29,44,18.1238
38,44,12.6412
76,82,15.8338
76,44,9.0357
76,106,7.6728
82,44,9.9745
82,147,8.0838
82,76,6.2561
101,44,25.4109
106,82,16.3341
106,76,8.7806
106,44,7.0933
147,82,18.4650
147,20,10.7040
147,44,9.0194
167,199,31.4588
167,82,13.8573
167,76,7.6398
199,82,12.5087
199,76,10.7191
199,44,8.2527
205,82,20.7377
205,222,9.5273
205,106,7.6378
215,44,9.9960
215,82,9.1112
222,82,13.6749
222,44,9.4644
224,44,21.8503
224,38,12.7058
